Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	35	Bent Staff	0	0	0	0	3.5	1.84	5.86	0.8	-0.6522	0.21	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	36	Worn Mace	0	0	0	0	3000	817.31	1499.25	316.54	-0.0976	0.29	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	39	Recruit's Pants	0	0	0	0	321.45	133.59	454.42	48.01	0.0989	0.86	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	40	Recruit's Boots	0	0	0	0	225.06	151.39	464.9	100.93	0.6157	0.29	0.07	0.2414
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	49	Footpad's Shirt	0	0	0	0	179.42	0	193.42	0	0.0054	0.07	0.07	1
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	51	Neophyte's Boots	1000000	1	100	100	100	0	100	0	0	1.21	0.07	0.0579
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	52	Neophyte's Pants	995995	3	99.5996	99.5996	99.6	0.11	99.6	0.11	0	4.86	0.14	0.0288
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	53	Neophyte's Shirt	0	0	0	0	200	145.45	112.5	115.02	-0.1253	1.57	0.14	0.0892
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	56	Apprentice's Robe	0	0	0	0	20	3.46	26.67	1.39	0.0622	0.29	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	57	Acolyte's Robe	0	0	0	0	9	0	9	0	0	0.43	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	117	Tough Jerky	7173	17	0.7173	0.6918	0.76	0.05	0.79	0.04	0.0093	33.64	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	118	Minor Healing Potion	0	0	0	0	0.18	0.27	0.16	0.27	-0.0401	49.93	10.07	0.2017
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	129	Rugged Trapper's Boots	14990000	1	1499	1499	1499	0	1499	0	0	0.71	0	0
EU - Silvermoon / Alliance	12/17/2014 10:49:19	12/17/2014	N/A	147	Rugged Trapper's Pants	0	0	0	0	129000.02	0	129000.02	0	0	0.21	0	0
